Player Name,Team Name,Nationality,Birth Year,Batting Style,Bowling Style,Signed Year
Suresh Raina,Gujarat Lions,Indian,1986,Left handed,Right arm off break,2016
Akshdeep Nath,Gujarat Lions,Indian,1993,Right handed,Right arm medium,2017
Aaron Finch,Gujarat Lions,Australia,1986,Right handed,Slow left arm,2016
jason ray,Gujarat Lions,England,1990,Right handed,Right arm medium,2017
Brendon McCullum,Gujarat Lions,New Zealand,1981,Right handed,Right arm medium,2016
Jaydev Shah,Gujarat Lions,Indian,1983,Left handed,Right arm off break,2016
Ravindra Jadeja,Gujarat Lions,Indian,1988,Left handed,Slow left arm,2016
dinesh karthik ,Gujarat Lions,Indian,1985,Right handed,Right arm off break,2016
dhawal kulkarni,Gujarat Lions,Indian,1988,Right handed,Right arm off break,2016
Virat Kohli,Royal Challengers Banglore,Indian,1992,Right handed,Right arm off break,2016
Mandeep Singh,Royal Challengers Banglore,Indian,1991,Right handed,Right arm off break,2015
kedar jadhav,Royal Challengers Banglore,Indian,1985,Right handed,Right arm off break,2016
travis head,Royal Challengers Banglore,Australia,1993,Left handed,Right arm off break,2016
kl rahul,Royal Challengers Banglore,Indian,1992,Right handed,Right arm off break,2016
Chris Gayle,Royal Challengers Banglore,West Indies,1979,Left handed,Right arm off break,2014
Harpreet Singh,Royal Challengers Banglore,Indian,1979,Left handed,Right arm off break,2017
Pawan Negi,Royal Challengers Banglore,Indian,1993,Left handed,Right arm off break,2017
Shane Watson,Royal Challengers Banglore,Australia,1981,Right handed,Right arm medium,2016
Stuart Binny,Royal Challengers Banglore,Indian,1984,Right handed,Right arm medium,2016
AB de Villiers,Royal Challengers Banglore,South Africa,1984,Right handed,Right arm medium,2014
Hashim Amla,Kings XI Punjab,South Africa,1983,Right handed,Right arm medium,2016
Murali Vijay,Kings XI Punjab,Indian,1984,Right handed,Right arm medium,2016
David Miller,Kings XI Punjab,South Africa,1989,Left handed,Right arm medium,2016
Eoin Morgan,Kings XI Punjab,England,1986,Left handed,Right arm medium,2016
Gurkeerat Singh,Kings XI Punjab,Indian,1990,Right handed,Right arm medium,2016
Martin Guptill,Kings XI Punjab,Australia,1986,Right handed,Right arm off break,2016
Manan Vohra,Kings XI Punjab,Indian,1993,Right handed,Right arm off break,2016
Shaun Marsh,Kings XI Punjab,Australia,1983,Left handed,Right arm off break,2016
Armaan Jaffer,Kings XI Punjab,Indian,1998,Right handed,Right arm off break,2016
Rinku Singh,Kings XI Punjab,Indian,1997,Left handed,Right arm off break,2016
Darren Sammy,Kings XI Punjab,Saint Lucia,1983,Right handed,Right arm off break,2016
Manish Pandey,Kolkata Knight Riders,Indian,1989,Right handed,Right arm off break,2016
Gautam Ghambir,Kolkata Knight Riders,Indian,1981,Right handed,Right arm off break,2016
Robin Uthappa,Kolkata Knight Riders,Indian,1985,Right handed,Right arm off break,2016
Darren Bravo,Kolkata Knight Riders,Trinidad and Tobago,1989,Right handed,Right arm off break,2016
Chris Lynn,Kolkata Knight Riders,Australia,1990,Right handed,Right arm off break,2016
Ishank Jaggi,Kolkata Knight Riders,Indian,1989,Right handed,Right arm off break,2016
SuryaKumar Yadav,Kolkata Knight Riders,Indian,1990,Right handed,Right arm off break,2016
Rishi Dhawan,Kolkata Knight Riders,Indian,1990,Right handed,Right arm off break,2016
Chrish Woakes,Kolkata Knight Riders,England,1989,Right handed,Right arm off break,2016
Andre Rusell,Kolkata Knight Riders,Jamaica,1988,Right handed,Right arm off break,2016
Yusuf Pathan,Kolkata Knight Riders,Indian,1982,Right handed,Right arm off break,2016
Siddesh Lad,Mumbai Indians,Indian,1992,Right handed,Right arm off break,2016
Ambati Rayudu,Mumbai Indians,Indian,1985,Right handed,Right arm off break,2016
Saurabh Tiwari,Mumbai Indians,Indian,1989,Right handed,Right arm off break,2016
Nitish Rana,Mumbai Indians,Indian,1993,Right handed,Right arm off break,2016
Rohit Sharma,Mumbai Indians,Indian,1987,Left handed,Right arm off break,2016
Lendl Simmons,Mumbai Indians,Trinidad and Tobago,1985,Left handed,Right arm off break,2016
Hardik Pandya,Mumbai Indians,Indian,1993,Left handed,Right arm off break,2016
Karn Sharma,Mumbai Indians,Indian,1987,Right handed,Right arm off break,2016
Shreyas Gopal,Mumbai Indians,Indian,1993,Right handed,Right arm off break,2016
Krunal Pandya,Mumbai Indians,Indian,1991,Right handed,Right arm off break,2016
Kieron Pollard,Mumbai Indians,Trinidad and Tobago,1987,Right handed,Right arm off break,2016
Ajinkya Rahane,Rising Pune Super Giants,Indian,1988,Right handed,Right arm off break,2016
Faf du Plessis,Rising Pune Super Giants,South Africa,1984,Right handed,Right arm off break,2016
Mayank Agarwal,Rising Pune Super Giants,Indian,1991,Right handed,Right arm off break,2016
Manoj Tiwary,Rising Pune Super Giants,Indian,1985,Left handed,Right arm medium,2016
Steve Smith,Rising Pune Super Giants,Australia,1989,Left handed,Right arm medium,2016
Rahul Tripathi,Rising Pune Super Giants,Indian,1991,Left handed,Right arm medium,2016
Usman Khawaja,Rising Pune Super Giants,Australia,1986,Right handed,Right arm medium,2016
Baba Aparajith,Rising Pune Super Giants,Indian,1994,Right handed,Right arm medium,2016
Ankit Sharma,Rising Pune Super Giants,Indian,1991,Left handed,Right arm medium,2016
Mitchell Marsh,Rising Pune Super Giants,Australia,1979,Left handed,Right arm medium,2016
Rajat Bhatia,Rising Pune Super Giants,Indian,1983,Right handed,Right arm medium,2016
Kane Williamson,Sunrisers Hyderbad,Australia,1990,Right handed,Right arm off break,2016
Shikhar Dhawan,Sunrisers Hyderbad,Indian,1985,Left handed,Right arm off break,2016
David Warner,Sunrisers Hyderbad,Australia,1986,Left handed,Right arm off break,2016
Ricky Bhui,Sunrisers Hyderbad,Indian,1996,Left handed,Right arm medium,2016
Tanmay Agarwal,Sunrisers Hyderbad,Indian,1995,Right handed,Right arm medium,2016
Moises Henriques,Sunrisers Hyderbad,Australia,1987,Right handed,Right arm medium,2016
Mohammed Nabi,Sunrisers Hyderbad,Afghanistan,1985,Left handed,Right arm medium,2016
Yuvraj Singh,Sunrisers Hyderbad,Indian,1981,Left handed,Right arm medium,2016
Deepak Hooda,Sunrisers Hyderbad,Indian,1995,Right handed,Right arm medium,2016
Bipul Sharma,Sunrisers Hyderbad,Indian,1983,Left handed,Right arm medium,2016
Ben Cutting,Sunrisers Hyderbad,Australia,1987,Left handed,Right arm medium,2016
Ankit Bawne,Delhi Daredevils,Indian,1992,Right handed,Right arm off break,2016
JP Duminy,Delhi Daredevils,South Africa,1984,Left handed,Right arm off break,2016
Shreyas Iyer,Delhi Daredevils,Indian,1994,Left handed,Right arm medium,2016
Karun Nair,Delhi Daredevils,Indian,1991,Right handed,Right arm medium,2016
Marlon Samuels,Delhi Daredevils,Jamaica,1981,Right handed,Right arm medium,2016
Pratyush Singh,Delhi Daredevils,Indian,1994,Left handed,Right arm medium,2016
Chris Morris,Delhi Daredevils,South Africa,1987,Left handed,Right arm medium,2016
Jayant Yadav,Delhi Daredevils,Indian,1990,Right handed,Right arm medium,2016
Angelo Mathews,Delhi Daredevils,Sri Lanka,1987,Left handed,Right arm medium,2016
Carlos Brathwaite,Delhi Daredevils,Barbdos,1988,Left handed,Right arm off break,2016
Corey Anderson,Delhi Daredevils,Australia,1991,Right handed,Right arm off break,2016
Shashank Singh,Delhi Daredevils,Indian,1991,Left handed,Right arm off break,2016
Sam Billings,Delhi Daredevils,England,1991,Right handed,Right arm off break,2016
Sanju Samson,Delhi Daredevils,Indian,1994,Left handed,Right arm medium,2016
Quinton de Kock,Delhi Daredevils,South Africa,1992,Left handed,Right arm medium,2016
Aditya Tare,Delhi Daredevils,Indian,1987,Right handed,Right arm medium,2016
Rishab Pant,Delhi Daredevils,Indian,1997,Right handed,Right arm medium,2016
Mohammed Shami,Delhi Daredevils,Indian,1990,Left handed,Right arm medium,2016
Kagiso Rabada,Delhi Daredevils,South Africa,1995,Left handed,Right arm medium,2016
Pat Cummins,Delhi Daredevils,Australia,1993,Right handed,Right arm medium,2016
Zaheer Khan,Delhi Daredevils,Indian,1978,Left handed,Right arm off break,2016
Shahbaz Nadeem,Delhi Daredevils,Indian,1989,Left handed,Right arm off break,2016
Amit Mishra,Delhi Daredevils,Indian,1997,Right handed,Right arm off break,2016
Khaleel Ahmed,Delhi Daredevils,Indian,1982,Left handed,Right arm off break,2016
