,_1,_2,_3,_4,_5,_6,_7
0,Virat Kohli,Royal Challengers Banglore,Indian,1992,Right handed,Right arm off break,2016
1,Mandeep Singh,Royal Challengers Banglore,Indian,1991,Right handed,Right arm off break,2015
2,kedar jadhav,Royal Challengers Banglore,Indian,1985,Right handed,Right arm off break,2016
3,kl rahul,Royal Challengers Banglore,Indian,1992,Right handed,Right arm off break,2016
4,Harpreet Singh,Royal Challengers Banglore,Indian,1979,Left handed,Right arm off break,2017
5,Pawan Negi,Royal Challengers Banglore,Indian,1993,Left handed,Right arm off break,2017
6,Stuart Binny,Royal Challengers Banglore,Indian,1984,Right handed,Right arm medium,2016
0,Chris Gayle,Royal Challengers Banglore,West Indies,1979,Left handed,Right arm off break,2014
0,travis head,Royal Challengers Banglore,Australia,1993,Left handed,Right arm off break,2016
1,Shane Watson,Royal Challengers Banglore,Australia,1981,Right handed,Right arm medium,2016
0,AB de Villiers,Royal Challengers Banglore,South Africa,1984,Right handed,Right arm medium,2014
